question,label
팔,health
다리,health
목,health
머리,health
손가락,health
발가락,health
이마,health
배,health
허리,health
피부,health
엉덩이,health
눈,health
귀,health
코,health
입,health
열,health
염증,health
출혈,health
멍,health
화상,health
동상,health
골절,health
부러짐,health
상처,health
붓기,health
땀띠,health
팔 빨갛게 됐어,health
팔 빨간색이야,health
팔 빨개,health
팔 붉은색이야,health
팔 붉은색으로 변했어,health
팔 빨간색,health
팔 붉은색,health
팔 열 있어요,health
팔 열 생겼어요,health
팔 열을 당했어요,health
팔 열 생겼어,health
팔 열 어떡해,health
팔 열 발생했어요,health
팔 열 있어,health
팔 열 보여,health
팔 열,health
열 팔,health
팔 염증 있어요,health
팔 염증 생겼어요,health
팔 염증을 당했어요,health
팔 염증 생겼어,health
팔 염증 어떡해,health
팔 염증 발생했어요,health
팔 염증 있어,health
팔 염증 보여,health
팔 염증,health
염증 팔,health
팔 출혈 있어요,health
팔 출혈 생겼어요,health
팔 출혈을 당했어요,health
팔 출혈 생겼어,health
팔 출혈 어떡해,health
팔 출혈 발생했어요,health
팔 출혈 있어,health
팔 출혈 보여,health
팔 출혈,health
출혈 팔,health
팔 멍 있어요,health
팔 멍 생겼어요,health
팔 멍을 당했어요,health
팔 멍 생겼어,health
팔 멍 어떡해,health
팔 멍 발생했어요,health
팔 멍 있어,health
팔 멍 보여,health
팔 멍,health
멍 팔,health
팔 화상 있어요,health
팔 화상 생겼어요,health
팔 화상을 당했어요,health
팔 화상 생겼어,health
팔 화상 어떡해,health
팔 화상 발생했어요,health
팔 화상 있어,health
팔 화상 보여,health
팔 화상,health
화상 팔,health
팔 동상 있어요,health
팔 동상 생겼어요,health
팔 동상을 당했어요,health
팔 동상 생겼어,health
팔 동상 어떡해,health
팔 동상 발생했어요,health
팔 동상 있어,health
팔 동상 보여,health
팔 동상,health
동상 팔,health
팔 골절 있어요,health
팔 골절 생겼어요,health
팔 골절을 당했어요,health
팔 골절 생겼어,health
팔 골절 어떡해,health
팔 골절 발생했어요,health
팔 골절 있어,health
팔 골절 보여,health
팔 골절,health
골절 팔,health
팔 부러짐 있어요,health
팔 부러짐 생겼어요,health
팔 부러짐을 당했어요,health
팔 부러짐 생겼어,health
팔 부러짐 어떡해,health
팔 부러짐 발생했어요,health
팔 부러짐 있어,health
팔 부러짐 보여,health
팔 부러짐,health
부러짐 팔,health
팔 상처 있어요,health
팔 상처 생겼어요,health
팔 상처 당했어요,health
팔 상처 생겼어,health
팔 상처 어떡해,health
팔 상처 발생했어요,health
팔 상처 있어,health
팔 상처,health
상처 팔,health
팔 붓기 있어요,health
팔 붓기 생겼어요,health
팔 붓기 당했어요,health
팔 붓기 생겼어,health
팔 붓기 어떡해,health
팔 붓기 발생했어요,health
팔 붓기 있어,health
팔 붓기,health
붓기 팔,health
팔 땀띠 있어요,health
팔 땀띠 생겼어요,health
팔 땀띠 당했어요,health
팔 땀띠 생겼어,health
팔 땀띠 어떡해,health
팔 땀띠 발생했어요,health
팔 땀띠 있어,health
팔 땀띠,health
땀띠 팔,health
다리 빨갛게 됐어,health
다리 빨간색이야,health
다리 빨개,health
다리 붉은색이야,health
다리 붉은색으로 변했어,health
다리 빨간색,health
다리 붉은색,health
다리 열 있어요,health
다리 열 생겼어요,health
다리 열을 당했어요,health
다리 열 생겼어,health
다리 열 어떡해,health
다리 열 발생했어요,health
다리 열 있어,health
다리 열 보여,health
다리 열,health
열 다리,health
다리 염증 있어요,health
다리 염증 생겼어요,health
다리 염증을 당했어요,health
다리 염증 생겼어,health
다리 염증 어떡해,health
다리 염증 발생했어요,health
다리 염증 있어,health
다리 염증 보여,health
다리 염증,health
염증 다리,health
다리 출혈 있어요,health
다리 출혈 생겼어요,health
다리 출혈을 당했어요,health
다리 출혈 생겼어,health
다리 출혈 어떡해,health
다리 출혈 발생했어요,health
다리 출혈 있어,health
다리 출혈 보여,health
다리 출혈,health
출혈 다리,health
다리 멍 있어요,health
다리 멍 생겼어요,health
다리 멍을 당했어요,health
다리 멍 생겼어,health
다리 멍 어떡해,health
다리 멍 발생했어요,health
다리 멍 있어,health
다리 멍 보여,health
다리 멍,health
멍 다리,health
다리 화상 있어요,health
다리 화상 생겼어요,health
다리 화상을 당했어요,health
다리 화상 생겼어,health
다리 화상 어떡해,health
다리 화상 발생했어요,health
다리 화상 있어,health
다리 화상 보여,health
다리 화상,health
화상 다리,health
다리 동상 있어요,health
다리 동상 생겼어요,health
다리 동상을 당했어요,health
다리 동상 생겼어,health
다리 동상 어떡해,health
다리 동상 발생했어요,health
다리 동상 있어,health
다리 동상 보여,health
다리 동상,health
동상 다리,health
다리 골절 있어요,health
다리 골절 생겼어요,health
다리 골절을 당했어요,health
다리 골절 생겼어,health
다리 골절 어떡해,health
다리 골절 발생했어요,health
다리 골절 있어,health
다리 골절 보여,health
다리 골절,health
골절 다리,health
다리 부러짐 있어요,health
다리 부러짐 생겼어요,health
다리 부러짐을 당했어요,health
다리 부러짐 생겼어,health
다리 부러짐 어떡해,health
다리 부러짐 발생했어요,health
다리 부러짐 있어,health
다리 부러짐 보여,health
다리 부러짐,health
