intent,entity_key1,entity_value1,entity_key2,entity_value2,response
health,part,O,issue,약,우선 아이에게 우유나 물을 먹이고 얼굴을 아래로 향하게 한 후 목구멍에 손가락을 넣어 토하게하는 것이 좋습니다. 이때 무리하게 손가락을 넣으면 식도가 다칠 수 있으므로 조심해야 하며 약이 제거되지 않거나 제거된 후에도 숨이 트이지 않으면 즉시 병원으로 가서 위세척을 해야 합니다.
health,part,O,issue,손세정제,처치가 늦어지면 매우 위험합니다. 먼저 응급처치들 한 다음에 반드시 병원에 가서 의사의 진료를 받아야합니다. 우선 아이에게 우유나 물 날달갈 3개정도를 먹여 토하게한 후 즉시 병원으로 가는 것이 좋습니다.
health,part,O,issue,세정제,처치가 늦어지면 매우 위험합니다. 먼저 응급처치들 한 다음에 반드시 병원에 가서 의사의 진료를 받아야합니다. 우선 아이에게 우유나 물 날달갈 3개정도를 먹여 토하게한 후 즉시 병원으로 가는 것이 좋습니다.
health,part,O,issue,세제,처치가 늦어지면 매우 위험합니다. 먼저 응급처치들 한 다음에 반드시 병원에 가서 의사의 진료를 받아야합니다. 우선 아이에게 우유나 물 날달갈 3개정도를 먹여 토하게한 후 즉시 병원으로 가는 것이 좋습니다.
health,part,O,issue,샴푸,처치가 늦어지면 매우 위험합니다. 먼저 응급처치들 한 다음에 반드시 병원에 가서 의사의 진료를 받아야합니다. 우선 아이에게 우유나 물 날달갈 3개정도를 먹여 토하게한 후 즉시 병원으로 가는 것이 좋습니다.
health,part,O,issue,린스,처치가 늦어지면 매우 위험합니다. 먼저 응급처치들 한 다음에 반드시 병원에 가서 의사의 진료를 받아야합니다. 우선 아이에게 우유나 물 날달갈 3개정도를 먹여 토하게한 후 즉시 병원으로 가는 것이 좋습니다.
health,part,O,issue,비누,처치가 늦어지면 매우 위험합니다. 먼저 응급처치들 한 다음에 반드시 병원에 가서 의사의 진료를 받아야합니다. 우선 아이에게 우유나 물 날달갈 3개정도를 먹여 토하게한 후 즉시 병원으로 가는 것이 좋습니다.
health,part,O,issue,바디워시,처치가 늦어지면 매우 위험합니다. 먼저 응급처치들 한 다음에 반드시 병원에 가서 의사의 진료를 받아야합니다. 우선 아이에게 우유나 물 날달갈 3개정도를 먹여 토하게한 후 즉시 병원으로 가는 것이 좋습니다.
health,part,O,issue,동전,먼저 얼굴을 아래로 하고 목구멍에 손가락을 넣어 토하게 해야 합니다. 하지만 무리하게 손을 넣어 꺼내려고 하면 식도를 다칠 수가 있으므로 조심해야 합니다.
health,part,O,issue,독극물,표백제나 가성소다 제초제 등 부식성이 있는 약제나 휘발성이 있는 석유나 페인트류를 먹었을 경우에는 위와 식도가 상할수 있으므로 절대 토하게 해서는 안됩니다. 이럴 경우에는 먼저 찬물이나 우유를 조금 마시게 한 다음 급히 병원으로 가야 합니다.
health,part,O,issue,독,표백제나 가성소다 제초제 등 부식성이 있는 약제나 휘발성이 있는 석유나 페인트류를 먹었을 경우에는 위와 식도가 상할수 있으므로 절대 토하게 해서는 안됩니다. 이럴 경우에는 먼저 찬물이나 우유를 조금 마시게 한 다음 급히 병원으로 가야 합니다.
health,part,O,issue,페인트,표백제나 가성소다 제초제 등 부식성이 있는 약제나 휘발성이 있는 석유나 페인트류를 먹었을 경우에는 위와 식도가 상할수 있으므로 절대 토하게 해서는 안됩니다. 이럴 경우에는 먼저 찬물이나 우유를 조금 마시게 한 다음 급히 병원으로 가야 합니다.
health,part,O,issue,석유,표백제나 가성소다 제초제 등 부식성이 있는 약제나 휘발성이 있는 석유나 페인트류를 먹었을 경우에는 위와 식도가 상할수 있으므로 절대 토하게 해서는 안됩니다. 이럴 경우에는 먼저 찬물이나 우유를 조금 마시게 한 다음 급히 병원으로 가야 합니다.
health,part,O,issue,기름,표백제나 가성소다 제초제 등 부식성이 있는 약제나 휘발성이 있는 석유나 페인트류를 먹었을 경우에는 위와 식도가 상할수 있으므로 절대 토하게 해서는 안됩니다. 이럴 경우에는 먼저 찬물이나 우유를 조금 마시게 한 다음 급히 병원으로 가야 합니다.
health,part,O,issue,표백제,표백제나 가성소다 제초제 등 부식성이 있는 약제나 휘발성이 있는 석유나 페인트류를 먹었을 경우에는 위와 식도가 상할수 있으므로 절대 토하게 해서는 안됩니다. 이럴 경우에는 먼저 찬물이나 우유를 조금 마시게 한 다음 급히 병원으로 가야 합니다.
