question,label
팔,part
다리,part
목,part
머리,part
손가락,part
발가락,part
이마,part
배,part
허리,part
피부,part
엉덩이,part
눈,part
귀,part
코,part
입,part
열,issue
염증,issue
출혈,issue
멍,issue
화상,issue
동상,issue
골절,issue
부러짐,issue
상처,issue
붓기,issue
땀띠,issue
팔 빨갛게 됐어,part O O
팔 빨간색이야,part O
팔 빨개,part O
팔 붉은색이야,part O
팔 붉은색으로 변했어,part O O
팔 빨간색,part O
팔 붉은색,part O
팔 열 있어요,part issue O
팔 열 생겼어요,part issue O
팔 열을 당했어요,part issue O
팔 열 생겼어,part issue O
팔 열 어떡해,part issue O
팔 열 발생했어요,part issue O
팔 열 있어,part issue O
팔 열 보여,part issue O
팔 열,part issue
열 팔,issue part
팔 염증 있어요,part issue O
팔 염증 생겼어요,part issue O
팔 염증을 당했어요,part issue O
팔 염증 생겼어,part issue O
팔 염증 어떡해,part issue O
팔 염증 발생했어요,part issue O
팔 염증 있어,part issue O
팔 염증 보여,part issue O
팔 염증,part issue
염증 팔,issue part
팔 출혈 있어요,part issue O
팔 출혈 생겼어요,part issue O
팔 출혈을 당했어요,part issue O
팔 출혈 생겼어,part issue O
팔 출혈 어떡해,part issue O
팔 출혈 발생했어요,part issue O
팔 출혈 있어,part issue O
팔 출혈 보여,part issue O
팔 출혈,part issue
출혈 팔,issue part
팔 멍 있어요,part issue O
팔 멍 생겼어요,part issue O
팔 멍을 당했어요,part issue O
팔 멍 생겼어,part issue O
팔 멍 어떡해,part issue O
팔 멍 발생했어요,part issue O
팔 멍 있어,part issue O
팔 멍 보여,part issue O
팔 멍,part issue
멍 팔,issue part
팔 화상 있어요,part issue O
팔 화상 생겼어요,part issue O
팔 화상을 당했어요,part issue O
팔 화상 생겼어,part issue O
팔 화상 어떡해,part issue O
팔 화상 발생했어요,part issue O
팔 화상 있어,part issue O
팔 화상 보여,part issue O
팔 화상,part issue
화상 팔,issue part
팔 동상 있어요,part issue O
팔 동상 생겼어요,part issue O
팔 동상을 당했어요,part issue O
팔 동상 생겼어,part issue O
팔 동상 어떡해,part issue O
팔 동상 발생했어요,part issue O
팔 동상 있어,part issue O
팔 동상 보여,part issue O
팔 동상,part issue
동상 팔,issue part
팔 골절 있어요,part issue O
팔 골절 생겼어요,part issue O
팔 골절을 당했어요,part issue O
팔 골절 생겼어,part issue O
팔 골절 어떡해,part issue O
팔 골절 발생했어요,part issue O
팔 골절 있어,part issue O
팔 골절 보여,part issue O
팔 골절,part issue
골절 팔,issue part
팔 부러짐 있어요,part issue O
팔 부러짐 생겼어요,part issue O
팔 부러짐을 당했어요,part issue O
팔 부러짐 생겼어,part issue O
팔 부러짐 어떡해,part issue O
팔 부러짐 발생했어요,part issue O
팔 부러짐 있어,part issue O
팔 부러짐 보여,part issue O
팔 부러짐,part issue
부러짐 팔,issue part
팔 상처 있어요,part issue O
팔 상처 생겼어요,part issue O
팔 상처 당했어요,part issue O
팔 상처 생겼어,part issue O
팔 상처 어떡해,part issue O
팔 상처 발생했어요,part issue O
팔 상처 있어,part issue O
팔 상처,part issue
상처 팔,issue part
팔 붓기 있어요,part issue O
팔 붓기 생겼어요,part issue O
팔 붓기 당했어요,part issue O
